"Countries.and.areas","Region","Sub-region","Development.regions","Sex","Copied or moved a file or folder","Used a copy and paste tool to duplicate or move information within a document","Sent e-mail with attached file, such as a document, picture or video","Used a basic arithmetic formula in a spreadsheet","Connected and installed a new device, such as a modem, camera or printer","Found, downloaded, installed and configured software","Created an electronic presentation with presentation software, including text, images, sound, video or charts","Transferred a file between a computer and other device","Wrote a computer program in any programming language","Total","Located in rural area","Located in urban area","20th wealth percentile","20th - 40th wealth percentile","40th - 60th wealth percentile","60th - 80th wealth percentile","80th - 100th wealth percentile","Data Source","Year"
"Algeria","MENA","MENA","Less Developed","Female","24.424051284790039","24.581399917602539","19.214347839355469","13.219030380249023","14.407340049743652","15.989145278930664","13.098823547363281","17.183145523071289","11.246236801147461","27.880683898925781","18.778194427490234","32.811431884765625","7.6091370582580566","14.313962936401367","22.206375122070313","34.513439178466797","53.202247619628906","MICS","2018-19"
"Bangladesh","SA","SA","Least Developed","Female","1.378747820854187","1.2437813282012939","1.0931404829025269","0.61819684505462646","0.84983056783676147","1.4815291166305542","0.6967887282371521","0.96534043550491333","0.30649575591087341","2.2764286994934082","1.0652672052383423","6.216400146484375","0.1494954526424408","0.58198434114456177","0.42867782711982727","1.1012169122695923","8.2185077667236328","MICS","2019"
"Central African Republic","SSA","WCA","Least Developed","Female","1.1083234548568726","1.0825425386428833","0.98684513568878174","0.41989907622337341","0.58878535032272339","0.8473171591758728","0.47217476367950439","0.77076894044876099","0.32396978139877319","1.479109525680542","6.9306172430515289E-2","3.4879691600799561","0","0","0","0","6.1755666732788086","MICS","2018-19"
"Central African Republic","SSA","WCA","Least Developed","Male","3.6595363616943359","3.2144978046417236","2.5386755466461182","0.91180384159088135","1.111079216003418","2.1307568550109863","0.68060189485549927","3.0962283611297607","0.33008038997650146","4.3760194778442383","0.32373949885368347","9.1573972702026367","0","0.94808840751647949","0.28263816237449646","2.3246893882751465","12.927543640136719","MICS","2018-19"
"Chad","SSA","WCA","Least Developed","Female","0.65563362836837769","0.63386416435241699","0.48203659057617188","0.18911494314670563","0.15854455530643463","0.38701874017715454","0.24477562308311462","0.41219010949134827","0.20752355456352234","1.0135704278945923","0.14231021702289581","4.3204951286315918","7.6474651694297791E-2","5.8319121599197388E-2","2.2935804445296526E-3","0.24977952241897583","4.2151741981506348","MICS","2019"
"Chad","SSA","WCA","Least Developed","Male","2.1281554698944092","1.9461506605148315","1.3757048845291138","0.57257086038589478","0.89211279153823853","1.0200494527816772","0.57487833499908447","1.3216588497161865","0.28293731808662415","2.7079696655273438","0.70035868883132935","9.5314922332763672","0.41265934705734253","1.2196513414382935","0.24561938643455505","1.1320102214813232","8.5459728240966797","MICS","2019"
"Cuba","LAC","LAC","Less Developed","Female","51.1763916015625","46.768924713134766","28.520393371582031","16.199071884155273","24.592058181762695","11.005504608154297","22.043483734130859","43.962749481201172","5.8941178321838379","57.289741516113281","39.806045532226563","65.520347595214844","82.655586242675781","64.551231384277344","54.276519775390625","41.592201232910156","33.426654815673828","MICS","2019"
"Cuba","LAC","LAC","Less Developed","Male","44.759414672851563","37.137042999267578","18.593233108520508","14.572107315063477","18.20665168762207","15.529277801513672","17.557653427124023","41.334854125976563","6.8944463729858398","48.738834381103516","27.15437126159668","59.581893920898438","73.379745483398438","56.845527648925781","43.577938079833984","37.216259002685547","18.108894348144531","MICS","2019"
"Democratic Republic of the Congo","SSA","WCA","Least Developed","Female","2.8616135120391846","2.9357233047485352","1.6093218326568604","1.8245047330856323","1.1182528734207153","0.84485340118408203","0.93605899810791016","1.8485283851623535","0.59512567520141602","4.1744065284729004","9.2016793787479401E-2","8.1292915344238281","0","0.25513201951980591","0.22739514708518982","2.8815484046936035","13.74824047088623","MICS","2017-18"
"Democratic Republic of the Congo","SSA","WCA","Least Developed","Male","10.331860542297363","10.90498161315918","5.786799430847168","4.2221598625183105","3.9116270542144775","3.8480057716369629","1.6775747537612915","8.2313652038574219","1.1718922853469849","13.276034355163574","2.0828571319580078","24.335140228271484","4.8538073897361755E-2","1.4721280336380005","2.0778136253356934","12.780181884765625","38.974636077880859","MICS","2017-18"
"Gambia","SSA","WCA","Least Developed","Female","5.0287256240844727","4.932807445526123","4.1935834884643555","2.770359992980957","3.2756454944610596","4.4543905258178711","3.682110071182251","4.1311120986938477","1.5458220243453979","7.4462556838989258","0.9705207347869873","10.012490272521973","0.45254728198051453","1.4585050344467163","3.3167731761932373","5.640235424041748","21.192745208740234","MICS","2018"
"Gambia","SSA","WCA","Least Developed","Male","14.432615280151367","13.328655242919922","8.5870351791381836","6.5199522972106934","5.7682156562805176","9.1669158935546875","6.32781982421875","14.095523834228516","0.66499549150466919","18.069498062133789","2.0542352199554443","22.522459030151367","2.2797656059265137","4.3931350708007813","7.0611038208007813","15.51485538482666","42.663852691650391","MICS","2018"
"Ghana","SSA","WCA","Less Developed","Female","4.9952230453491211","4.437774658203125","3.6050801277160645","2.344080924987793","3.0141808986663818","3.0512940883636475","1.7022453546524048","3.3443551063537598","0.38783439993858337","7.5784473419189453","3.1099019050598145","12.137141227722168","0.54909735918045044","3.9347801208496094","5.3311519622802734","7.802337646484375","19.29228401184082","MICS","2017-18"
"Ghana","SSA","WCA","Less Developed","Male","18.542858123779297","15.006031036376953","8.1295204162597656","3.5528790950775146","9.6456995010375977","11.332634925842285","1.7217874526977539","15.465540885925293","0.37743121385574341","22.488138198852539","15.408804893493652","31.225522994995117","4.9396557807922363","9.881474494934082","19.599031448364258","27.400222778320313","57.293159484863281","MICS","2017-18"
"Guinea-Bissau","SSA","WCA","Least Developed","Female","1.9377267360687256","1.8876893520355225","1.8631808757781982","0.97791415452957153","1.0758597850799561","2.1493856906890869","1.4318797588348389","2.2178747653961182","1.0996842384338379","4.2640442848205566","0.46079331636428833","9.2516059875488281","5.8678384870290756E-2","0.3806692361831665","0.20202964544296265","3.3264641761779785","13.567452430725098","MICS","2018-19"
"Guinea-Bissau","SSA","WCA","Least Developed","Male","10.568062782287598","7.294835090637207","6.7629737854003906","1.3503251075744629","3.7354772090911865","8.4840145111083984","1.7508378028869629","11.694457054138184","0.60521864891052246","12.984831809997559","3.4636595249176025","25.67523193359375","1.6426149606704712","2.4351747035980225","4.0729527473449707","14.184413909912109","37.173694610595703","MICS","2018-19"
"Iraq","MENA","MENA","Less Developed","Female","6.5499105453491211","6.5424480438232422","3.9166054725646973","3.1390659809112549","3.7748172283172607","3.133206844329834","3.3766634464263916","5.307884693145752","1.4854105710983276","8.0480098724365234","5.5115466117858887","9.2397298812866211","1.1481626033782959","3.0020692348480225","4.6553468704223633","9.5239181518554688","20.615724563598633","MICS","2018"
"Kiribati","EAP","EAP","Least Developed","Female","24.57493782043457","27.581764221191406","18.743635177612305","17.052803039550781","12.28214168548584","12.870512962341309","18.314085006713867","18.343378067016602","4.2806215286254883","30.629989624023438","16.106773376464844","40.030910491943359","9.64520263671875","16.982952117919922","21.557140350341797","33.890190124511719","57.303882598876953","MICS","2018-19"
"Kiribati","EAP","EAP","Least Developed","Male","27.523761749267578","30.410953521728516","12.255731582641602","15.004646301269531","9.8409833908081055","16.384050369262695","17.091869354248047","24.152956008911133","3.4360740184783936","33.542263031005859","17.968992233276367","45.928337097167969","9.5071811676025391","19.298284530639648","27.185920715332031","45.228050231933594","60.485847473144531","MICS","2018-19"
"Kyrgyzstan","ECA","EECA","Less Developed","Female","23.906499862670898","23.455095291137695","21.276971817016602","13.588539123535156","7.4048914909362793","7.5832476615905762","13.308466911315918","12.105844497680664","3.2052681446075439","29.720794677734375","21.523172378540039","42.580947875976563","15.171140670776367","22.669082641601563","20.886289596557617","27.623050689697266","57.586215972900391","MICS","2018"
"Lao People's Democratic Republic","EAP","EAP","Least Developed","Female","6.8553543090820313","6.5792741775512695","3.1555147171020508","5.792236328125","1.505363941192627","3.3868172168731689","3.3926084041595459","4.9644951820373535","0.69343113899230957","9.2139978408813477","3.5830338001251221","22.93974494934082","4.4425409287214279E-2","1.1621977090835571","2.667116641998291","9.2648305892944336","32.183586120605469","MICS","2017"
"Lao People's Democratic Republic","EAP","EAP","Least Developed","Male","8.3604526519775391","7.7946348190307617","3.9562616348266602","6.6649394035339355","3.4583396911621094","6.6824727058410645","4.344630241394043","6.7034707069396973","0.84847724437713623","12.126066207885742","6.7267274856567383","26.445697784423828","0.45437169075012207","2.5887243747711182","5.2029123306274414","14.53361701965332","40.948520660400391","MICS","2017"
"Lesotho","SSA","ESA","Least Developed","Female","10.087490081787109","10.526941299438477","5.2558884620666504","6.1698980331420898","6.3225693702697754","6.4334182739257813","3.6779787540435791","10.317441940307617","1.9227139949798584","14.681887626647949","9.4764795303344727","21.147739410400391","1.6341696977615356","4.8305978775024414","8.3504610061645508","17.160211563110352","33.369483947753906","MICS","2018"
"Lesotho","SSA","ESA","Least Developed","Male","11.987339019775391","11.53376579284668","7.3514766693115234","6.0869579315185547","6.0140972137451172","7.812985897064209","3.3326640129089355","12.163743019104004","2.2305023670196533","14.241571426391602","5.5679993629455566","29.716703414916992","1.3175294399261475","2.7431893348693848","4.7124972343444824","20.654312133789063","41.379592895507813","MICS","2018"
"Madagascar","SSA","ESA","Least Developed","Female","3.00832819938659","3.3629889488220215","1.9878712892532349","2.0908200740814209","1.7086937427520752","2.1793701648712158","1.0044350624084473","2.9986298084259033","0.51855373382568359","4.9948034286499023","1.8929206132888794","13.971097946166992","0","5.6063402444124222E-2","0.2592732310295105","0.91310673952102661","21.06599235534668","MICS","2018"
"Madagascar","SSA","ESA","Least Developed","Male","7.3157458305358887","7.4437499046325684","3.5610866546630859","3.2046670913696289","4.4116988182067871","4.5596022605895996","1.8232901096343994","6.9455280303955078","0.89130103588104248","8.4090738296508789","3.4692068099975586","23.943624496459961","0.10470501333475113","0.58523821830749512","1.132537841796875","3.2985563278198242","33.962337493896484","MICS","2018"
"Mongolia","EAP","EAP","Less Developed","Female","32.485477447509766","35.711139678955078","24.619806289672852","23.050230026245117","15.785768508911133","19.618309020996094","22.995615005493164","21.549697875976563","3.7582740783691406","42.960380554199219","26.259592056274414","48.723621368408203","20.451658248901367","29.872564315795898","41.580516815185547","58.532554626464844","57.646583557128906","MICS","2018"
"Mongolia","EAP","EAP","Less Developed","Male","32.657344818115234","35.802509307861328","23.119253158569336","20.570404052734375","13.902968406677246","27.508302688598633","19.38850212097168","26.914150238037109","6.3069076538085938","44.949222564697266","19.18083381652832","56.002662658691406","10.897640228271484","35.988555908203125","45.688167572021484","66.669189453125","70.332931518554688","MICS","2018"
"Nepal","SA","SA","Least Developed","Female","8.4782323837280273","7.6934919357299805","5.9839334487915039","5.1241879463195801","3.050015926361084","4.9995884895324707","3.1104536056518555","5.9300417900085449","1.5789743661880493","10.021695137023926","2.9149737358093262","13.420623779296875","0.7346959114074707","3.058819055557251","5.4378495216369629","10.127382278442383","30.694082260131836","MICS","2019"
"Nepal","SA","SA","Least Developed","Male","19.234882354736328","15.911542892456055","12.444437026977539","9.7516660690307617","6.9866375923156738","11.713445663452148","6.5800747871398926","16.001916885375977","2.2641670703887939","20.041032791137695","9.3767814636230469","24.673337936401367","4.3493185043334961","8.8037071228027344","12.090201377868652","18.543561935424805","51.132797241210938","MICS","2019"
"Pakistan (Punjab)","SA","SA","Less Developed","Female","6.0923995971679688","5.9344992637634277","4.1476645469665527","2.820138692855835","3.2799403667449951","4.7007660865783691","3.5067648887634277","4.5662145614624023","1.2955893278121948","8.3292875289916992","4.0917730331420898","15.192882537841797","0.11518304049968719","1.1678544282913208","2.9388580322265625","8.5742454528808594","26.417354583740234","MICS","2019"
"Pakistan (Punjab)","SA","SA","Less Developed","Male","17.621618270874023","16.350606918334961","10.27800178527832","6.5912857055664063","9.2378244400024414","11.993056297302246","6.3717575073242188","14.333428382873535","2.6095631122589111","20.624008178710938","14.409422874450684","30.693391799926758","4.676267147064209","10.055137634277344","16.849515914916992","23.502681732177734","45.343040466308594","MICS","2019"
"São Tomé and Príncipe","SSA","WCA","Least Developed","Female","13.31170654296875","13.604709625244141","9.9417600631713867","6.0919198989868164","6.7706570625305176","8.8742923736572266","5.3044795989990234","13.263696670532227","3.1117630004882813","20.316364288330078","14.271162033081055","23.327112197875977","9.4565191268920898","6.9812750816345215","12.994138717651367","25.033676147460938","45.972164154052734","MICS","2019"
"São Tomé and Príncipe","SSA","WCA","Least Developed","Male","26.968299865722656","22.051092147827148","15.270100593566895","7.1776227951049805","7.9945483207702637","13.495050430297852","7.7454099655151367","30.999643325805664","4.3177628517150879","37.139575958251953","31.917173385620117","40.130550384521484","24.931144714355469","29.663667678833008","32.459999084472656","39.997928619384766","60.7161865234375","MICS","2019"
"Sierra Leone","SSA","WCA","Least Developed","Female","1.4852333068847656","1.4701908826828003","1.5346384048461914","0.64419388771057129","0.95368576049804688","0.9322817325592041","0.6287086009979248","1.2542498111724854","0.19668927788734436","2.2622404098510742","6.7794919013977051E-2","4.0749764442443848","0","7.0595480501651764E-2","0.13949835300445557","0.87036025524139404","7.4102654457092285","MICS","2017"
"Sierra Leone","SSA","WCA","Least Developed","Male","4.2942557334899902","3.6198742389678955","2.8577628135681152","1.5469187498092651","2.6653366088867188","2.5594239234924316","0.92489057779312134","4.1273789405822754","0.60639798641204834","5.1432576179504395","0.44202736020088196","8.7753620147705078","0","0","1.0332752466201782","3.434150218963623","14.054931640625","MICS","2017"
"State of Palestine","MENA","MENA","Less Developed","Female","35.622135162353516","35.079429626464844","25.219913482666016","23.927410125732422","11.138359069824219","20.076393127441406","24.268136978149414","27.977054595947266","10.417490005493164","44.202838897705078","46.682903289794922","43.664108276367188","26.660600662231445","40.7900390625","40.266571044921875","48.423965454101563","64.023551940917969","MICS","2019-20"
"Suriname","LAC","LAC","Less Developed","Female","31.552665710449219","35.373420715332031","28.720230102539063","16.733753204345703","13.196149826049805","16.275463104248047","19.003883361816406","21.109933853149414","5.5287704467773438","42.272701263427734","32.343097686767578","47.989173889160156","15.122482299804688","26.097047805786133","41.603996276855469","59.350467681884766","74.216743469238281","MICS","2018"
"Suriname","LAC","LAC","Less Developed","Male","26.041463851928711","31.895912170410156","26.15125846862793","14.11181640625","17.988164901733398","19.578609466552734","16.019710540771484","22.886529922485352","5.6911554336547852","39.4302978515625","26.192977905273438","45.854274749755859","9.4578075408935547","23.456947326660156","51.280296325683594","39.530040740966797","74.666259765625","MICS","2018"
"Togo","SSA","WCA","Least Developed","Female","3.1201484203338623","3.1105828285217285","2.0385918617248535","1.281156063079834","1.1274309158325195","1.7648065090179443","0.99077022075653076","1.8978025913238525","0.56112802028656006","4.2553243637084961","1.0453011989593506","7.8145146369934082","0","0","1.0877541303634644","4.322812557220459","11.919436454772949","MICS","2017"
"Togo","SSA","WCA","Least Developed","Male","7.5190691947937012","7.864412784576416","5.0180544853210449","2.0434153079986572","2.2428193092346191","5.6085357666015625","1.7004728317260742","7.3250851631164551","1.108870267868042","9.4702472686767578","2.7057533264160156","18.110572814941406","0","1.6526973247528076","5.7008547782897949","12.090315818786621","27.809947967529297","MICS","2017"
"Tonga","EAP","EAP","Less Developed","Female","36.820785522460938","40.839210510253906","37.5438232421875","33.340560913085938","12.438130378723145","18.919553756713867","29.381170272827148","34.715236663818359","16.182270050048828","52.296535491943359","52.754135131835938","50.883937835693359","38.952770233154297","42.312953948974609","56.828922271728516","56.554939270019531","66.676536560058594","MICS","2019"
"Tonga","EAP","EAP","Less Developed","Male","17.097806930541992","15.395060539245605","17.722208023071289","9.9896402359008789","3.6875698566436768","4.4725728034973145","13.650224685668945","18.146472930908203","3.3505384922027588","25.2169189453125","25.174272537231445","25.358318328857422","15.043973922729492","25.541946411132813","21.785392761230469","28.755546569824219","35.010673522949219","MICS","2019"
"Tunisia","MENA","MENA","Less Developed","Female","32.419216156005859","30.58735466003418","24.881475448608398","19.976385116577148","16.848281860351563","20.394250869750977","16.999698638916016","20.747495651245117","9.067509651184082","42.126003265380859","25.877349853515625","49.479270935058594","17.643772125244141","27.132589340209961","44.111038208007813","51.148056030273438","70.562812805175781","MICS","2018"
"Tunisia","MENA","MENA","Less Developed","Male","31.078968048095703","29.43787956237793","23.21685791015625","16.268892288208008","16.767683029174805","22.555744171142578","12.229758262634277","20.751636505126953","8.9077796936035156","41.0029296875","23.317487716674805","49.713047027587891","18.114265441894531","29.674201965332031","35.642528533935547","53.514652252197266","78.418441772460938","MICS","2018"
"Turkmenistan","ECA","EECA","Less Developed","Female","27.854156494140625","25.972980499267578","8.9473819732666016","12.502901077270508","9.4887208938598633","5.1980862617492676","6.4573063850402832","22.561880111694336","0.71406829357147217","31.544300079345703","25.58485221862793","40.598285675048828","28.810527801513672","30.855045318603516","26.830890655517578","23.705205917358398","51.112525939941406","MICS","2019"
"Zimbabwe","SSA","ESA","Less Developed","Female","9.6084470748901367","9.5495223999023438","5.089475154876709","3.3321750164031982","4.9478664398193359","6.4720883369445801","3.7896449565887451","10.105457305908203","1.1471593379974365","14.595783233642578","5.3625202178955078","29.07744026184082","3.1088135242462158","1.4141454696655273","4.6342859268188477","13.545699119567871","39.488121032714844","MICS","2019"
"Zimbabwe","SSA","ESA","Less Developed","Male","18.351055145263672","16.591590881347656","8.0272836685180664","7.2649741172790527","10.715499877929688","13.012591361999512","6.540956974029541","19.040765762329102","2.2411222457885742","22.576574325561523","8.8986434936523438","54.025703430175781","2.2782201766967773","4.4232463836669922","8.6471319198608398","30.51215934753418","65.0029296875","MICS","2019"
